dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 04:43:25,2,1,CCWCS596FVQQOK8L94LL,кастрюля,посуда,4,1169.61,209.43
2025-12-06 04:43:27,2,1,CCWCS596FVQQOK8L94LL,сметана,молоко и молочные продукты,2,210.65,56.29
2025-12-06 04:43:29,2,1,CCWCS596FVQQOK8L94LL,кастрюля,посуда,7,1054.45,91.93
2025-12-06 04:43:31,2,1,CCWCS596FVQQOK8L94LL,освежитель воздуха,бытовая химия,10,231.55,21.91
2025-12-06 01:21:51,2,1,M0C6674KQNGID10PJTNQ,покрывало,текстиль,2,419.36,110.89
2025-12-06 01:58:52,2,1,V0T7NXCEEWZR9KFEFLB5,капуста,фрукты и овощи,3,266.16,78.29
2025-12-06 01:58:54,2,1,V0T7NXCEEWZR9KFEFLB5,сковорода,посуда,2,372.86,37.17
2025-12-06 01:58:56,2,1,V0T7NXCEEWZR9KFEFLB5,средство для мытья посуды,бытовая химия,10,247.14,61.27
2025-12-06 04:37:54,2,1,EUQBIX9NM9V571IHG773,батат,фрукты и овощи,1,199.14,26.32
2025-12-06 04:37:56,2,1,EUQBIX9NM9V571IHG773,сметана,молоко и молочные продукты,3,164.5,15.06
2025-12-06 00:25:06,2,1,F4H4BF4V9M4O3GYRITF1,кола,напитки и соки,8,180.21,27.46
2025-12-06 00:25:08,2,1,F4H4BF4V9M4O3GYRITF1,отбеливатель,бытовая химия,10,341.45,23.87
2025-12-06 19:40:33,2,1,EAO9CM078CZ86AN3HARU,дыня,фрукты и овощи,6,79.24,20.75
2025-12-06 19:40:35,2,1,EAO9CM078CZ86AN3HARU,морс клюквенный,напитки и соки,1,217.51,62.26
2025-12-06 19:40:37,2,1,EAO9CM078CZ86AN3HARU,средство для мытья посуды,бытовая химия,3,282.14,33.63
2025-12-06 19:40:39,2,1,EAO9CM078CZ86AN3HARU,постельное белье,текстиль,6,3290.27,623.99
2025-12-06 07:08:11,2,1,25XUPVG3FVS92VNNC0W9,шторы,текстиль,5,3678.65,73.28
2025-12-06 07:08:13,2,1,25XUPVG3FVS92VNNC0W9,ложка,посуда,7,1429.24,44.52
