dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-05 15:55:23,1,3,VHUKS0Q796601FXRP8AA,свекла,фрукты и овощи,9,201.63,34.28
2025-12-05 15:55:25,1,3,VHUKS0Q796601FXRP8AA,стакан,посуда,7,1526.61,355.99
2025-12-05 15:55:27,1,3,VHUKS0Q796601FXRP8AA,салат айсберг,фрукты и овощи,3,259.14,12.08
2025-12-05 15:37:36,1,3,4I5530Y6CDRELK5A09ZV,дыня,фрукты и овощи,6,281.99,18.41
2025-12-05 15:37:38,1,3,4I5530Y6CDRELK5A09ZV,шторы,текстиль,2,1272.58,119.27
2025-12-05 15:37:40,1,3,4I5530Y6CDRELK5A09ZV,отбеливатель,бытовая химия,7,476.43,19.25
2025-12-05 12:49:46,1,3,1UIADP0DJ9T1XFBWO64G,чай зеленый,напитки и соки,5,277.7,9.67
2025-12-05 12:49:48,1,3,1UIADP0DJ9T1XFBWO64G,стиральный порошок,бытовая химия,3,295.84,27.38
2025-12-05 12:49:50,1,3,1UIADP0DJ9T1XFBWO64G,киви,фрукты и овощи,8,84.18,7.36
2025-12-05 12:49:52,1,3,1UIADP0DJ9T1XFBWO64G,дыня,фрукты и овощи,5,105.52,22.93
2025-12-05 19:07:59,1,3,XKU8983TGKFLG3331JGF,салат айсберг,фрукты и овощи,1,249.22,56.76
2025-12-05 19:08:01,1,3,XKU8983TGKFLG3331JGF,средство для мытья посуды,бытовая химия,10,342.95,13.04
2025-12-05 19:08:03,1,3,XKU8983TGKFLG3331JGF,шторы,текстиль,8,3175.45,233.95
2025-12-05 07:43:53,1,3,800T122J1IR9MI02MYZK,сок лимонный,напитки и соки,7,187.75,17.64
2025-12-05 01:30:19,1,3,SH6I1JY6IQ2F4TJFKT38,средство для мытья посуды,бытовая химия,5,354.88,67.44
2025-12-05 01:46:55,1,3,M87VXBKWQ3PH1BGDTSGU,ложка,посуда,6,1834.49,175.59
2025-12-05 01:46:57,1,3,M87VXBKWQ3PH1BGDTSGU,йогурт,молоко и молочные продукты,5,177.33,11.53
2025-12-05 03:38:59,1,3,JORGNY3KMEEO4RR9N51C,венчик,посуда,1,1899.11,363.92
2025-12-05 03:39:01,1,3,JORGNY3KMEEO4RR9N51C,сок апельсиовый,напитки и соки,8,223.11,20.7
