dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 19:18:27,3,4,0IZGOOM47JA4R79N73IL,йогурт,молоко и молочные продукты,6,176.89,28.59
2025-12-06 19:18:29,3,4,0IZGOOM47JA4R79N73IL,форма для запекания,посуда,6,1331.05,112.08
2025-12-06 19:18:31,3,4,0IZGOOM47JA4R79N73IL,кефир,молоко и молочные продукты,6,152.37,6.33
2025-12-06 19:18:33,3,4,0IZGOOM47JA4R79N73IL,персик,фрукты и овощи,8,155.52,26.66
2025-12-06 16:38:19,3,4,Z7DW18X1WU2N1PKVT0ME,тофу,молоко и молочные продукты,1,183.96,50.33
2025-12-06 16:38:21,3,4,Z7DW18X1WU2N1PKVT0ME,ложка,посуда,6,1562.35,332.0
2025-12-06 16:38:23,3,4,Z7DW18X1WU2N1PKVT0ME,покрывало,текстиль,8,3512.66,539.54
2025-12-06 21:00:39,3,4,WNOHU1GI3DSNFT2GBKL3,гель для чистки унитаза,бытовая химия,1,229.78,55.03
2025-12-06 21:00:41,3,4,WNOHU1GI3DSNFT2GBKL3,морковь,фрукты и овощи,5,80.34,14.54
2025-12-06 21:00:43,3,4,WNOHU1GI3DSNFT2GBKL3,шторы,текстиль,5,3482.61,772.09
2025-12-06 10:15:18,3,4,W02HPHDAPKVGZCXLR2ER,отбеливатель,бытовая химия,10,426.82,89.79
2025-12-06 09:49:54,3,4,FRSDDZW35P0TT0XTXKED,стиральный порошок,бытовая химия,1,256.09,2.68
2025-12-06 15:29:27,3,4,ANA54EXQPFEVDQ7H3P4I,покрывало,текстиль,2,1217.0,261.82
2025-12-06 01:01:25,3,4,2TMHYEUABK5Q9UVHQHY0,кола,напитки и соки,8,217.38,15.97
2025-12-06 01:01:27,3,4,2TMHYEUABK5Q9UVHQHY0,плед,текстиль,5,3986.22,561.31
2025-12-06 01:01:29,3,4,2TMHYEUABK5Q9UVHQHY0,освежитель воздуха,бытовая химия,9,409.76,106.21
2025-12-06 01:01:31,3,4,2TMHYEUABK5Q9UVHQHY0,покрывало,текстиль,2,861.53,2.67
2025-12-06 22:48:59,3,4,QRFJZHNIA3N4PZQNBHGK,освежитель воздуха,бытовая химия,6,225.5,32.01
2025-12-06 22:49:01,3,4,QRFJZHNIA3N4PZQNBHGK,сок лимонный,напитки и соки,6,115.0,15.1
2025-12-06 22:49:03,3,4,QRFJZHNIA3N4PZQNBHGK,средство для мытья посуды,бытовая химия,2,231.38,51.65
2025-12-06 17:20:16,3,4,3J5FY0YXRV02LVD8U558,ковер,текстиль,3,1871.72,446.28
2025-12-06 02:42:14,3,4,ACQZOUBLFZVVKHCPC7XI,тюль,текстиль,10,1282.45,286.14
2025-12-06 02:42:16,3,4,ACQZOUBLFZVVKHCPC7XI,кефир,молоко и молочные продукты,9,239.14,48.66
