dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-05 01:06:34,3,5,4EWH69PLCLVCG9F3JB29,йогурт,молоко и молочные продукты,3,109.96,1.96
2025-12-05 01:06:36,3,5,4EWH69PLCLVCG9F3JB29,тюль,текстиль,5,3851.84,469.0
2025-12-05 01:06:38,3,5,4EWH69PLCLVCG9F3JB29,постельное белье,текстиль,8,2897.92,532.9
2025-12-05 01:06:40,3,5,4EWH69PLCLVCG9F3JB29,покрывало,текстиль,4,962.87,224.07
2025-12-05 06:16:08,3,5,SIIY7V34RSRS0SAXHM1D,тюль,текстиль,8,734.48,192.46
2025-12-05 20:37:43,3,5,2IZJRJNIWT60VZWFU8QZ,сметана,молоко и молочные продукты,2,160.59,33.97
2025-12-05 08:15:38,3,5,OUUADYJSYZBDGJ4DXU2P,тюль,текстиль,1,2209.0,118.84
2025-12-05 08:15:40,3,5,OUUADYJSYZBDGJ4DXU2P,молоко,молоко и молочные продукты,6,116.95,9.44
2025-12-05 08:15:42,3,5,OUUADYJSYZBDGJ4DXU2P,ковер,текстиль,9,1072.74,66.66
2025-12-05 17:48:54,3,5,E3WOY9II05WDODHHUPMZ,покрывало,текстиль,1,2512.77,186.22
2025-12-05 17:48:56,3,5,E3WOY9II05WDODHHUPMZ,отбеливатель,бытовая химия,6,424.65,113.59
2025-12-05 17:48:58,3,5,E3WOY9II05WDODHHUPMZ,слива,фрукты и овощи,3,60.14,2.59
2025-12-05 06:44:12,3,5,CTEW2HZ8BOT8T84BCO2Z,гель для чистки унитаза,бытовая химия,4,158.5,0.77
2025-12-05 06:44:14,3,5,CTEW2HZ8BOT8T84BCO2Z,полотенце,текстиль,4,2623.92,279.62
2025-12-05 06:44:16,3,5,CTEW2HZ8BOT8T84BCO2Z,свекла,фрукты и овощи,5,255.03,45.79
2025-12-05 07:34:19,3,5,77VFWTMGI6DL349ZVHXG,сметана,молоко и молочные продукты,10,201.88,47.98
2025-12-05 07:34:21,3,5,77VFWTMGI6DL349ZVHXG,редис,фрукты и овощи,4,194.82,41.02
