dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 15:21:03,4,3,MQSMXQPAQ0AQZIAAZE0S,сок гранатовый,напитки и соки,10,249.78,48.23
2025-12-06 15:21:05,4,3,MQSMXQPAQ0AQZIAAZE0S,кастрюля,посуда,4,1283.73,88.11
2025-12-06 04:48:51,4,3,G1541V80RIRZIUJGPQQM,отбеливатель,бытовая химия,5,452.31,4.63
2025-12-06 04:48:53,4,3,G1541V80RIRZIUJGPQQM,венчик,посуда,5,1265.67,226.15
2025-12-06 03:28:18,4,3,BXQ94H2XX33ZEMJYVY12,освежитель воздуха,бытовая химия,4,128.61,18.58
2025-12-06 13:29:17,4,3,4KHSSMLCXEGPMYA8FZ08,редис,фрукты и овощи,9,122.09,34.58
2025-12-06 23:38:19,4,3,293Y7BZP7CMT51R6EWHQ,сок гранатовый,напитки и соки,3,152.67,27.82
2025-12-06 23:38:21,4,3,293Y7BZP7CMT51R6EWHQ,гель для чистки унитаза,бытовая химия,3,202.98,38.01
2025-12-06 23:38:23,4,3,293Y7BZP7CMT51R6EWHQ,морс клюквенный,напитки и соки,4,239.63,2.39
2025-12-06 12:00:08,4,3,7CLV1PGL1N4KKEP58BS0,капуста,фрукты и овощи,9,117.04,5.93
2025-12-06 12:00:10,4,3,7CLV1PGL1N4KKEP58BS0,кола,напитки и соки,4,240.78,45.45
2025-12-06 12:00:12,4,3,7CLV1PGL1N4KKEP58BS0,стиральный порошок,бытовая химия,2,410.69,67.13
2025-12-06 12:00:14,4,3,7CLV1PGL1N4KKEP58BS0,сок лимонный,напитки и соки,5,118.32,10.33
2025-12-06 00:49:52,4,3,OZQZ2P0JLAG3DH2Y515U,персик,фрукты и овощи,9,182.61,39.0
2025-12-06 13:29:44,4,3,XZ8SJ6OS1PAODGLSTR5M,редис,фрукты и овощи,6,200.45,30.27
2025-12-06 13:29:46,4,3,XZ8SJ6OS1PAODGLSTR5M,сок апельсиовый,напитки и соки,10,149.36,33.25
