dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 20:11:43,4,2,RFPYI16F7KU7AVH30MGG,масло сливочное,молоко и молочные продукты,8,79.31,13.7
2025-12-06 20:11:45,4,2,RFPYI16F7KU7AVH30MGG,сковорода,посуда,1,1908.44,442.5
2025-12-06 20:11:47,4,2,RFPYI16F7KU7AVH30MGG,чай черный,напитки и соки,3,105.49,9.4
2025-12-06 20:11:49,4,2,RFPYI16F7KU7AVH30MGG,шторы,текстиль,2,3892.12,1111.76
2025-12-06 19:20:14,4,2,NRPRI0LJ2EW8ON4I0V45,сок гранатовый,напитки и соки,9,194.38,26.12
2025-12-06 15:57:31,4,2,35VJX67DVE1ED9WDWWHH,венчик,посуда,5,1440.04,337.44
2025-12-06 15:57:33,4,2,35VJX67DVE1ED9WDWWHH,покрывало,текстиль,6,3910.29,1061.17
2025-12-06 15:57:35,4,2,35VJX67DVE1ED9WDWWHH,молоко,молоко и молочные продукты,9,216.4,24.67
2025-12-06 15:57:37,4,2,35VJX67DVE1ED9WDWWHH,сок апельсиовый,напитки и соки,5,254.67,17.19
2025-12-06 14:09:30,4,2,S9GP9VKSUJ6K787F5U1V,ковер,текстиль,1,1430.43,205.9
2025-12-06 20:45:36,4,2,PP3ZBSG9FTHFC97HJNVY,постельное белье,текстиль,8,2639.38,389.93
