dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 20:38:21,3,2,SJMCLQ6Q5WM6WOU6OHPA,покрывало,текстиль,6,3332.36,671.99
2025-12-06 20:38:23,3,2,SJMCLQ6Q5WM6WOU6OHPA,лук,фрукты и овощи,8,257.37,57.32
2025-12-06 17:38:04,3,2,D2HS2UG8QPJMYPPD235K,кола,напитки и соки,8,166.7,27.61
2025-12-06 14:29:07,3,2,0CDOPBDV83QV8MZ9W20U,средство для мытья посуды,бытовая химия,2,291.52,16.96
2025-12-06 14:29:09,3,2,0CDOPBDV83QV8MZ9W20U,свекла,фрукты и овощи,8,133.92,9.23
2025-12-06 14:29:11,3,2,0CDOPBDV83QV8MZ9W20U,морс клюквенный,напитки и соки,1,275.98,28.08
2025-12-06 22:38:41,3,2,AJJYYCJFOPZKTFFMZ5A0,стакан,посуда,6,1208.81,73.33
2025-12-06 22:38:43,3,2,AJJYYCJFOPZKTFFMZ5A0,картофель,фрукты и овощи,5,267.07,27.43
2025-12-06 22:38:45,3,2,AJJYYCJFOPZKTFFMZ5A0,гель для чистки унитаза,бытовая химия,7,464.15,36.55
2025-12-06 22:38:47,3,2,AJJYYCJFOPZKTFFMZ5A0,чай черный,напитки и соки,6,179.31,35.86
