dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-05 02:01:37,2,5,U5XH398QCW59BDP0F750,освежитель воздуха,бытовая химия,2,379.41,26.32
2025-12-05 02:01:39,2,5,U5XH398QCW59BDP0F750,сотейник,посуда,9,1794.34,471.73
2025-12-05 02:01:41,2,5,U5XH398QCW59BDP0F750,стакан,посуда,5,1158.59,332.59
2025-12-05 02:01:43,2,5,U5XH398QCW59BDP0F750,гель для чистки унитаза,бытовая химия,4,485.4,38.24
2025-12-05 12:23:45,2,5,716AZQHFN36C41HZI3IP,ложка,посуда,10,1902.56,431.56
2025-12-05 09:28:03,2,5,1STJ3W8AQKITMM0ZE2LD,батат,фрукты и овощи,9,279.48,8.01
2025-12-05 09:28:05,2,5,1STJ3W8AQKITMM0ZE2LD,ложка,посуда,2,630.68,133.25
2025-12-05 23:57:05,2,5,VLODF4U3GNSGZGLHCTLN,йогурт,молоко и молочные продукты,6,234.92,9.29
2025-12-05 21:02:36,2,5,M6PXUBBI27WG985XD0GH,тюль,текстиль,8,3056.97,332.62
2025-12-05 21:02:38,2,5,M6PXUBBI27WG985XD0GH,постельное белье,текстиль,10,3960.58,51.07
2025-12-05 21:02:40,2,5,M6PXUBBI27WG985XD0GH,тофу,молоко и молочные продукты,6,189.65,49.76
