dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 04:33:29,3,1,2ZKA0RRW0XRI37WC2L0B,покрывало,текстиль,6,3286.36,939.35
2025-12-06 04:33:31,3,1,2ZKA0RRW0XRI37WC2L0B,кола,напитки и соки,10,106.46,2.81
2025-12-06 04:33:33,3,1,2ZKA0RRW0XRI37WC2L0B,салат айсберг,фрукты и овощи,3,261.56,27.13
2025-12-06 04:33:35,3,1,2ZKA0RRW0XRI37WC2L0B,покрывало,текстиль,8,1493.97,312.91
2025-12-06 06:04:30,3,1,Z1P2GAQQZFJCAZM7S86S,тарелка,посуда,6,1457.54,278.69
2025-12-06 06:04:32,3,1,Z1P2GAQQZFJCAZM7S86S,шторы,текстиль,6,3880.27,892.84
2025-12-06 06:04:34,3,1,Z1P2GAQQZFJCAZM7S86S,сыр,молоко и молочные продукты,10,245.8,5.33
2025-12-06 06:04:36,3,1,Z1P2GAQQZFJCAZM7S86S,средство для мытья посуды,бытовая химия,5,211.04,14.0
2025-12-06 12:08:03,3,1,H3EVNXMYD55I3HEXIKD8,персик,фрукты и овощи,2,140.5,32.27
2025-12-06 11:12:24,3,1,LTEIK7YOC2VAUQYGKXPB,ковер,текстиль,3,2472.59,184.64
2025-12-06 11:12:26,3,1,LTEIK7YOC2VAUQYGKXPB,тюль,текстиль,5,2794.06,537.32
2025-12-06 11:12:28,3,1,LTEIK7YOC2VAUQYGKXPB,масло сливочное,молоко и молочные продукты,5,83.62,0.03
2025-12-06 11:12:30,3,1,LTEIK7YOC2VAUQYGKXPB,полотенце,текстиль,5,1000.41,206.4
2025-12-06 22:01:04,3,1,CEYH00ZSKHG28XXR6YUD,сотейник,посуда,5,1843.91,456.1
2025-12-06 22:01:06,3,1,CEYH00ZSKHG28XXR6YUD,йогурт,молоко и молочные продукты,5,213.8,30.54
2025-12-06 22:01:08,3,1,CEYH00ZSKHG28XXR6YUD,ряженка,молоко и молочные продукты,1,70.42,12.35
2025-12-06 16:59:39,3,1,N1U32TGGXJP63NU3BHE8,слива,фрукты и овощи,6,273.79,81.02
2025-12-06 08:34:11,3,1,DW1ON22DRASMLNBID9YL,капуста,фрукты и овощи,3,102.41,7.53
2025-12-06 08:34:13,3,1,DW1ON22DRASMLNBID9YL,сок апельсиовый,напитки и соки,8,121.68,34.97
2025-12-06 08:34:15,3,1,DW1ON22DRASMLNBID9YL,постельное белье,текстиль,10,3254.36,264.23
2025-12-06 08:34:17,3,1,DW1ON22DRASMLNBID9YL,тарелка,посуда,4,995.43,44.9
2025-12-06 18:40:40,3,1,CDSKXG4YQ2CT4WV4C9QH,сок апельсиовый,напитки и соки,4,238.38,2.64
2025-12-06 18:40:42,3,1,CDSKXG4YQ2CT4WV4C9QH,чай черный,напитки и соки,5,209.94,9.42
2025-12-06 18:40:44,3,1,CDSKXG4YQ2CT4WV4C9QH,стиральный порошок,бытовая химия,5,476.23,31.61
2025-12-06 19:11:47,3,1,DUJ2DKDVUBISTBYTJQW9,салат айсберг,фрукты и овощи,5,272.36,26.07
2025-12-06 19:11:49,3,1,DUJ2DKDVUBISTBYTJQW9,чай зеленый,напитки и соки,5,177.86,6.89
2025-12-06 19:11:51,3,1,DUJ2DKDVUBISTBYTJQW9,освежитель воздуха,бытовая химия,4,131.7,24.76
2025-12-06 19:11:53,3,1,DUJ2DKDVUBISTBYTJQW9,отбеливатель,бытовая химия,6,318.69,8.74
2025-12-06 02:03:14,3,1,5XJ7FH3LHENPGVAJNCKE,сок гранатовый,напитки и соки,6,284.07,25.17
2025-12-06 12:36:38,3,1,H3KEMNBVOKU316CE9KXV,сметана,молоко и молочные продукты,9,226.53,6.61
2025-12-06 03:12:36,3,1,UVJOIW72ODBKUMDQ2RGC,сок апельсиовый,напитки и соки,4,238.48,42.45
