dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-05 12:23:37,4,5,K94WVXKOS64NDZ7DZ7RZ,венчик,посуда,7,1923.47,428.65
2025-12-05 12:23:39,4,5,K94WVXKOS64NDZ7DZ7RZ,йогурт,молоко и молочные продукты,4,76.24,7.83
2025-12-05 12:23:41,4,5,K94WVXKOS64NDZ7DZ7RZ,отбеливатель,бытовая химия,2,271.01,3.44
2025-12-05 15:37:13,4,5,HVALNL60LGG4Q5W279IC,картофель,фрукты и овощи,6,263.98,7.23
2025-12-05 15:37:15,4,5,HVALNL60LGG4Q5W279IC,сковорода,посуда,6,505.58,49.54
2025-12-05 15:37:17,4,5,HVALNL60LGG4Q5W279IC,слива,фрукты и овощи,6,263.39,78.18
2025-12-05 15:37:19,4,5,HVALNL60LGG4Q5W279IC,отбеливатель,бытовая химия,2,482.77,35.44
2025-12-05 20:58:51,4,5,BT6AF7Q9Z24RYR9VFVBM,ковер,текстиль,7,2470.0,104.19
2025-12-05 20:58:53,4,5,BT6AF7Q9Z24RYR9VFVBM,творог,молоко и молочные продукты,3,127.6,4.04
2025-12-05 20:58:55,4,5,BT6AF7Q9Z24RYR9VFVBM,салат айсберг,фрукты и овощи,2,146.09,16.65
2025-12-05 11:36:48,4,5,AVSVFLEZK1A4FC373HEH,стакан,посуда,5,1824.73,466.96
2025-12-05 11:36:50,4,5,AVSVFLEZK1A4FC373HEH,плед,текстиль,4,2788.37,87.42
2025-12-05 11:36:52,4,5,AVSVFLEZK1A4FC373HEH,сметана,молоко и молочные продукты,10,124.84,32.39
2025-12-05 01:03:06,4,5,9CNIATZOFKAO7UIO5BPP,сок гранатовый,напитки и соки,5,130.88,17.18
2025-12-05 01:03:08,4,5,9CNIATZOFKAO7UIO5BPP,творог,молоко и молочные продукты,3,128.18,6.5
2025-12-05 01:03:10,4,5,9CNIATZOFKAO7UIO5BPP,сотейник,посуда,6,1632.53,126.92
2025-12-05 15:05:27,4,5,R0PJV4Y1EXAQHOSB5VDZ,средство для мытья посуды,бытовая химия,4,460.53,55.13
2025-12-05 15:05:29,4,5,R0PJV4Y1EXAQHOSB5VDZ,сыр,молоко и молочные продукты,2,217.63,8.19
2025-12-05 15:05:31,4,5,R0PJV4Y1EXAQHOSB5VDZ,плед,текстиль,7,1848.33,236.4
2025-12-05 10:13:51,4,5,02ZYUPDSWMY5LDFB5TI4,сок апельсиовый,напитки и соки,8,220.18,16.81
2025-12-05 10:13:53,4,5,02ZYUPDSWMY5LDFB5TI4,венчик,посуда,6,932.29,220.76
