dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-05 15:27:20,1,2,YD8LCGPEOBL4DM18LI4R,лук,фрукты и овощи,7,161.24,45.37
2025-12-05 22:20:19,1,2,EXWMGXVO3BSVEFZBHPWW,кола,напитки и соки,3,140.81,8.16
2025-12-05 22:20:21,1,2,EXWMGXVO3BSVEFZBHPWW,сок лимонный,напитки и соки,6,175.8,34.68
2025-12-05 22:20:23,1,2,EXWMGXVO3BSVEFZBHPWW,венчик,посуда,10,1580.67,434.31
2025-12-05 05:09:30,1,2,6MG81N4ARIG8J33RW6TU,масло сливочное,молоко и молочные продукты,4,235.25,61.46
2025-12-05 05:09:32,1,2,6MG81N4ARIG8J33RW6TU,батат,фрукты и овощи,2,266.49,27.06
2025-12-05 05:09:34,1,2,6MG81N4ARIG8J33RW6TU,чай зеленый,напитки и соки,4,137.76,6.19
2025-12-05 05:09:36,1,2,6MG81N4ARIG8J33RW6TU,чай зеленый,напитки и соки,7,111.57,4.65
2025-12-05 18:55:54,1,2,J942BKSHWV2GLFVFPC8G,кефир,молоко и молочные продукты,7,213.13,18.73
2025-12-05 18:55:56,1,2,J942BKSHWV2GLFVFPC8G,арбуз,фрукты и овощи,3,188.13,24.05
2025-12-05 06:59:55,1,2,EKXGPZXSK0Z5VJDQS6EZ,форма для запекания,посуда,5,1274.88,369.92
2025-12-05 06:59:57,1,2,EKXGPZXSK0Z5VJDQS6EZ,слива,фрукты и овощи,7,69.03,3.88
2025-12-05 20:45:27,1,2,BLV2NB0L6CAE5PVTMFGB,отбеливатель,бытовая химия,10,363.97,103.67
2025-12-05 20:45:29,1,2,BLV2NB0L6CAE5PVTMFGB,венчик,посуда,9,644.89,68.46
2025-12-05 20:45:31,1,2,BLV2NB0L6CAE5PVTMFGB,отбеливатель,бытовая химия,7,199.22,13.11
2025-12-05 03:32:17,1,2,0Y3BSJ54B13LAFXTMFMX,плед,текстиль,5,1510.77,367.24
2025-12-05 03:32:19,1,2,0Y3BSJ54B13LAFXTMFMX,освежитель воздуха,бытовая химия,3,224.43,29.41
2025-12-05 03:32:21,1,2,0Y3BSJ54B13LAFXTMFMX,абрикос,фрукты и овощи,2,270.25,50.68
