dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 23:03:36,2,3,FY19W98XRCRM73PLBVSC,стиральный порошок,бытовая химия,8,335.89,36.87
2025-12-06 23:03:38,2,3,FY19W98XRCRM73PLBVSC,гель для чистки унитаза,бытовая химия,6,162.51,36.44
2025-12-06 12:37:10,2,3,UZVG3S8VPE8I0R00YFWI,свекла,фрукты и овощи,5,116.91,21.09
2025-12-06 12:37:12,2,3,UZVG3S8VPE8I0R00YFWI,сок апельсиовый,напитки и соки,4,208.14,8.19
2025-12-06 12:37:14,2,3,UZVG3S8VPE8I0R00YFWI,тофу,молоко и молочные продукты,8,146.0,7.42
2025-12-06 23:32:41,2,3,8XFIW6NXEQG9339BU238,стиральный порошок,бытовая химия,4,435.44,23.33
2025-12-06 14:20:50,2,3,VTMXOV55DKDKE5TPXIK5,сок апельсиовый,напитки и соки,8,135.59,21.21
2025-12-06 17:47:18,2,3,OF00FRIPKWTDDAJHRS6F,постельное белье,текстиль,7,1036.55,244.25
2025-12-06 10:10:23,2,3,DC61JGGXMN4GQLEO7BZ4,средство для мытья посуды,бытовая химия,7,159.58,5.79
2025-12-06 10:10:25,2,3,DC61JGGXMN4GQLEO7BZ4,тофу,молоко и молочные продукты,9,244.98,1.61
2025-12-06 22:45:18,2,3,BF18THVHJVYOP6L5FR67,капуста,фрукты и овощи,7,80.12,0.23
2025-12-06 22:45:20,2,3,BF18THVHJVYOP6L5FR67,венчик,посуда,6,1466.58,327.0
2025-12-06 22:45:22,2,3,BF18THVHJVYOP6L5FR67,постельное белье,текстиль,6,1775.03,113.4
