dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 23:43:01,2,2,38VR936NI7BJJEAIE33L,кефир,молоко и молочные продукты,2,143.82,35.31
2025-12-06 23:43:03,2,2,38VR936NI7BJJEAIE33L,тарелка,посуда,6,438.52,50.7
2025-12-06 21:07:57,2,2,U42MB5FYE21R6JZZDQ0I,сковорода,посуда,2,1773.77,183.83
2025-12-06 21:07:59,2,2,U42MB5FYE21R6JZZDQ0I,абрикос,фрукты и овощи,5,160.02,1.38
2025-12-06 21:08:01,2,2,U42MB5FYE21R6JZZDQ0I,свекла,фрукты и овощи,8,271.35,35.1
2025-12-06 21:08:03,2,2,U42MB5FYE21R6JZZDQ0I,персик,фрукты и овощи,10,233.15,17.89
2025-12-06 13:39:22,2,2,GDW9CPKDD8T5FWSSX5IS,плед,текстиль,2,1919.9,180.14
2025-12-06 13:39:24,2,2,GDW9CPKDD8T5FWSSX5IS,постельное белье,текстиль,4,1949.86,411.4
2025-12-06 13:39:26,2,2,GDW9CPKDD8T5FWSSX5IS,персик,фрукты и овощи,1,261.43,50.76
2025-12-06 20:34:06,2,2,2AK7DCE4EI939EAS90GV,постельное белье,текстиль,10,1559.26,237.0
2025-12-06 02:24:02,2,2,5QEEW4OJAJO1FL8KIDY6,масло сливочное,молоко и молочные продукты,2,240.06,66.54
2025-12-06 02:24:04,2,2,5QEEW4OJAJO1FL8KIDY6,гель для чистки унитаза,бытовая химия,1,349.82,78.01
2025-12-06 02:24:06,2,2,5QEEW4OJAJO1FL8KIDY6,сыр,молоко и молочные продукты,7,90.72,12.82
2025-12-06 02:24:08,2,2,5QEEW4OJAJO1FL8KIDY6,шторы,текстиль,2,2025.16,569.17
2025-12-06 17:29:53,2,2,WENYUK9UB1Z3KVR35BXM,ложка,посуда,4,1315.01,200.21
